Year;Bank;L10.means;L20.means;L30.means;L40.means;L50.means;L60.means
1997;Vor2;3.2;15.3;17;10;0.8;0
1997;Vor4;38.7;82.8;33.2;3.8;0.3;0
1997;Vor5;12.5;69.3;43;4.5;0.2;0
1998;Vor2;0.5;5;17.5;12.2;0.7;0
1998;Vor4;259.4;18.6;22;3.8;0.2;0
1998;Vor5;10.75;50;40.6;5.75;0.1;0
1999;Vor2;8.3;8.3;28.3;11;1.5;0
1999;Vor4;158.8;121.3;2.2;1.2;0;0
1999;Vor5;9;30.7;38.2;7;0;0
2000;Vor2;12.2;12.8;24.7;9.3;0.2;0
2000;Vor4;23.3;132;31.8;0.8;0.2;0
2000;Vor5;21.3;22.2;24.5;9.8;0.3;0
2001;Vor2;27;39.5;28.2;12.5;1;0.2
2001;Vor4;24.7;65.7;49.5;3.3;0;0
2001;Vor5;14.3;35.2;33.2;7.8;0.5;0.2
2002;Vor2;21.8;37.2;25;9.2;0.5;0
2002;Vor4;54.8;33.2;44.2;6.2;0;0
2002;Vor5;18.8;28.7;39.2;9.2;0.5;0
2003;Vor2;34.3;16.5;20.7;6;0.7;0
2003;Vor4;196.2;94.5;12.7;2.8;0;0
2003;Vor5;61;20;26;9.5;0;0
2004;Vor2;57.7;50.2;23;6.2;0.7;0
2004;Vor4;97.8;81;11.2;1.3;0;0
2004;Vor5;29.5;44.3;32.3;9.7;0.3;0
2005;Vor2;39.7;43;27.8;4.2;0.2;0
2005;Vor4;112;67.3;25.3;2.3;0;0
2005;Vor5;33.3;49;37.8;6.3;0.2;0
2006;Vor2;18.3;31.2;16.7;3.7;0;0
2006;Vor4;81.2;85.7;7.8;0.7;0;0
2006;Vor5;24.2;20.8;27.5;5.5;0.5;0
2007;Vor2;24.8;26.7;34.5;6.3;0.3;0
2007;Vor4;31.8;49.2;16;2;0;0
2007;Vor5;25.2;29.5;32;7;0.2;0
2008;Vor2;85.2;11.8;21.2;12.3;0.3;0
2008;Vor4;354.7;39.3;16.2;2.3;0;0
2008;Vor5;121.8;19.3;28;11.8;0.5;0
2009;Vor2;155.2;36.8;18;7;0;0
2009;Vor4;136.7;102.7;8;1.5;0.2;0
2009;Vor5;53.7;25.3;21.8;9.3;0.7;0
2010;Vor2;86;61;23.8;7;0.5;0
2010;Vor4;134.5;77.2;20.7;1;0;0
2010;Vor5;37.5;24.8;17.2;10;0.2;0
2011;Vor2;106.3;26.8;24;5.8;0.7;0
2011;Vor4;553.2;56.8;19.5;1.2;0;0
2011;Vor5;90.3;35.2;28;7.7;0.3;0
