"","UTM.EW","UTM.NS","Precipitation","Elevation","Age.cat","Geology","Habitat","Stream","EnvHet"
"1",625753.967,1011568.985,2530,120,"c3","Tb","OldSlope","Yes",0.6272
"2",625753.967,1011668.985,2530,120,"c3","Tb","OldLow","Yes",0.3936
"3",625753.967,1011768.985,2530,120,"c3","Tb","OldLow","No",0
"4",625753.967,1011868.985,2530,120,"c3","Tb","OldLow","No",0
"5",625753.967,1011968.985,2530,120,"c3","Tb","OldSlope","No",0.4608
"6",625853.967,1011568.985,2530,120,"c3","Tb","OldLow","No",0.0768
"7",625853.967,1011668.985,2530,120,"c3","Tb","OldLow","Yes",0.3808
"8",625853.967,1011768.985,2530,120,"c3","Tb","OldLow","Yes",0.2112
"9",625853.967,1011868.985,2530,120,"c3","Tb","OldLow","No",0
"10",625853.967,1011968.985,2530,120,"c3","Tb","OldLow","No",0
"11",625953.967,1011568.985,2530,120,"c3","Tb","OldLow","No",0.4032
"12",625953.967,1011668.985,2530,120,"c3","Tb","OldLow","No",0
"13",625953.967,1011768.985,2530,120,"c3","Tb","OldLow","Yes",0.6624
"14",625953.967,1011868.985,2530,120,"c3","Tb","OldLow","No",0.1472
"15",625953.967,1011968.985,2530,120,"c3","Tb","OldLow","No",0
"16",626053.967,1011568.985,2530,120,"c3","Tb","OldSlope","No",0.4608
"17",626053.967,1011668.985,2530,120,"c3","Tb","OldLow","No",0
"18",626053.967,1011768.985,2530,120,"c3","Tb","Swamp","No",0.6592
"19",626053.967,1011868.985,2530,120,"c3","Tb","OldLow","No",0.0768
"20",626053.967,1011968.985,2530,120,"c3","Tb","OldLow","No",0.2112
"21",626153.967,1011568.985,2530,120,"c3","Tb","OldSlope","No",0.2688
"22",626153.967,1011668.985,2530,120,"c3","Tb","OldLow","No",0.2112
"23",626153.967,1011768.985,2530,120,"c3","Tb","Swamp","No",0.624
"24",626153.967,1011868.985,2530,120,"c3","Tb","OldLow","No",0.4352
"25",626153.967,1011968.985,2530,120,"c3","Tb","OldLow","No",0.608
"26",626253.967,1011568.985,2530,120,"c3","Tb","OldSlope","No",0.3648
"27",626253.967,1011668.985,2530,120,"c3","Tb","OldLow","No",0
"28",626253.967,1011768.985,2530,120,"c3","Tb","OldLow","No",0.3328
"29",626253.967,1011868.985,2530,120,"c3","Tb","OldHigh","No",0.6528
"30",626253.967,1011968.985,2530,120,"c3","Tb","Young","No",0.6144
"31",626353.967,1011568.985,2530,120,"c3","Tb","OldLow","No",0.4928
"32",626353.967,1011668.985,2530,120,"c3","Tb","OldHigh","No",0.7264
"33",626353.967,1011768.985,2530,120,"c2","Tb","OldHigh","No",0.0768
"34",626353.967,1011868.985,2530,120,"c3","Tb","OldHigh","No",0
"35",626353.967,1011968.985,2530,120,"c3","Tb","Young","No",0.3328
"36",626453.967,1011568.985,2530,120,"c3","Tb","OldSlope","No",0.4032
"37",626453.967,1011668.985,2530,120,"c3","Tb","OldHigh","No",0.3648
"38",626453.967,1011768.985,2530,120,"c3","Tb","OldHigh","No",0
"39",626453.967,1011868.985,2530,120,"c3","Tb","OldHigh","No",0
"40",626453.967,1011968.985,2530,120,"c3","Tb","OldHigh","No",0.6208
"41",626553.967,1011568.985,2530,120,"c3","Tb","OldSlope","No",0.4032
"42",626553.967,1011668.985,2530,120,"c3","Tb","OldSlope","No",0.1472
"43",626553.967,1011768.985,2530,120,"c3","Tb","OldSlope","No",0.0768
"44",626553.967,1011868.985,2530,120,"c3","Tb","OldSlope","No",0.5568
"45",626553.967,1011968.985,2530,120,"c3","Tb","OldSlope","Yes",0.3424
"46",626653.967,1011568.985,2530,120,"c3","Tb","OldLow","No",0.1472
"47",626653.967,1011668.985,2530,120,"c3","Tb","OldLow","No",0.3648
"48",626653.967,1011768.985,2530,120,"c3","Tb","OldLow","No",0.4608
"49",626653.967,1011868.985,2530,120,"c3","Tb","OldLow","No",0.4992
"50",626653.967,1011968.985,2530,120,"c3","Tb","OldSlope","Yes",0.6368
