Site;Sample;Level;Fabricia_sabella;Polydora_quadrilobata;Microspio_theeli;Pygospio_elegans
1;1;1;20;3;0;9
1;2;1;13;9;0;11
1;3;1;10;19;0;7
1;4;2;6;1;1;0
1;5;2;4;1;1;0
1;6;2;7;1;5;1
1;7;3;0;0;5;3
1;8;3;0;0;6;2
1;9;3;0;0;0;7
1;10;4;0;0;2;0
1;11;4;0;0;0;0
1;12;4;0;0;1;0
1;13;5;0;0;4;0
1;14;5;0;0;6;0
1;15;5;0;0;3;0
1;16;6;0;0;0;0
1;17;6;0;0;0;0
1;18;6;0;0;0;3
1;19;7;1;0;0;0
1;20;7;0;0;0;4
1;21;7;0;0;0;0
1;22;8;0;0;0;1
1;23;8;0;0;0;0
1;24;8;0;0;0;1
1;25;9;0;0;0;8
1;26;9;0;0;0;0
1;27;9;0;0;0;2
1;28;10;0;0;0;3
1;29;10;0;0;0;2
1;30;10;0;0;0;2
3;1;1;0;0;0;0
3;2;1;0;0;0;0
3;3;1;0;0;0;0
3;4;2;0;0;0;0
3;5;2;0;0;0;1
3;6;2;2;0;1;1
3;7;3;0;0;0;5
3;8;3;0;0;0;0
3;9;3;0;0;0;0
3;10;4;2;0;0;4
3;11;4;73;0;0;10
3;12;4;11;0;0;3
3;13;5;109;0;0;12
3;14;5;11;0;0;2
3;15;5;23;0;0;5
3;16;6;13;0;0;31
3;17;6;2;0;0;39
3;18;6;4;0;0;16
3;19;7;223;0;0;5
3;20;7;105;0;2;8
3;21;7;55;0;0;7
3;22;8;6;0;0;23
3;23;8;0;0;1;1
3;24;8;5;0;1;25
3;25;9;0;0;0;23
3;26;9;8;0;0;4
3;27;9;20;0;0;10
3;28;10;0;0;0;0
3;29;10;0;0;0;0
3;30;10;0;0;0;0
2;1;1;0;0;1;5
2;2;1;0;8;3;3
2;3;1;0;2;7;13
2;4;2;0;0;3;1
2;5;2;0;0;0;1
2;6;2;0;0;3;4
2;7;3;0;1;18;2
2;8;3;0;0;28;2
2;9;3;0;1;39;8
2;10;4;0;1;24;12
2;11;4;0;0;11;0
2;12;4;0;0;5;20
2;13;5;0;0;20;1
2;14;5;0;0;51;3
2;15;5;0;0;55;10
2;16;6;0;0;21;7
2;17;6;1;1;0;2
2;18;6;0;0;28;16
2;19;7;0;1;41;2
2;20;7;0;1;53;8
2;21;7;0;1;24;7
2;22;8;0;0;0;10
2;23;8;0;0;0;0
2;24;8;0;0;1;6
2;25;9;0;0;1;32
2;26;9;0;1;13;1
2;27;9;0;0;4;12
2;28;10;0;0;3;4
2;29;10;0;0;0;2
2;30;10;0;0;1;0
