Year;Acropora_aspera;Coeloseris_mayori;Diploastrea_sp;Favia_favus;Favia_matthai;Favia_pallida;Favia_pentagona;Favia_sp1;Favites_abdita;Favites_halicora;Favites_sp1;Fungia_fungites;Fungia_sp2;Fungia_sp3;Fungia_sp4;Goniastrea_aspera;Goniastrea_australensis;Goniastrea_edwardsii;Goniastrea_favulus;Goniastrea_pectinata;Goniastrea_retiformis;Leptastrea_transversa;Montastrea_valenciennesi;Montipora_digitata;Montipora_sp2;Oulastrea_crispata;Platygyra_daedelea;Platygyra_pini;Platygyra_sp1;Platygyra_sp2;Pocillopora_damicornis;Podobacia_sp;Porites_lutea;Porites_sp1;Porites_sp2;Porites_sp3;Porites_sp4
1983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
1983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;7;0;0;0;0;0;0;0;3;0;0;0;0;0;45;0;0;0;0
1983;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;70;0;0;0;0;0;0;0;0;16;0;0;0;0;134;0;0;0;0
1983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;78;0;0;0;0
1983;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;91;0;51;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0
1983;0;24;0;0;0;10;0;3;19;0;0;0;0;0;0;81;0;0;137;20;0;10;0;0;0;0;0;0;0;0;0;0;73;0;0;8;0
1983;0;0;0;0;0;32;0;0;32;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;49;0;2;0;75;0;26;0;0
1983;0;66;0;2;0;0;0;0;48;0;0;0;0;0;0;19;0;0;58;0;72;23;0;0;0;0;0;88;0;0;0;0;133;0;0;18;0
1983;20;111;0;0;0;44;0;0;127;0;0;0;0;0;0;5;0;0;3;0;75;0;15;7;0;0;30;0;0;37;0;12;53;0;0;0;0
1983;0;128;24;0;0;28;0;0;44;14;14;0;0;0;0;0;0;0;10;0;51;0;0;0;0;0;0;0;139;0;0;0;0;11;0;0;0
1983;0;94;14;0;0;0;0;0;94;47;0;0;0;0;0;12;0;0;0;0;114;20;0;0;0;0;37;0;12;0;0;0;15;0;0;10;0
1983;0;36;0;11;0;26;24;0;119;0;0;15;54;11;9;0;0;0;6;0;12;0;4;0;0;0;0;6;15;0;0;0;22;0;0;33;0
1987;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0
1987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;61;20;0;0;0
1987;10;0;0;0;0;1;0;0;8;0;0;0;0;0;0;12;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;101;0;0;0;0
1987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;5;0;0;3;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0
1987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0
1987;1;9;0;0;0;4;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;11;5;0;0;0
1987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;8;17;0;0;15;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0
1987;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;23;0;0;0;0;0;0;0;0;3;0;219;0;0;0;0
1987;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;22;0;0;0;0;0;0;0;8;0;0;0;0;0;225;0;0;0;0
1987;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;33;51;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0
1987;0;24;0;0;9;48;0;0;0;0;0;0;0;0;0;72;0;0;4;0;7;27;0;2;0;0;5;0;0;0;0;0;110;0;0;0;0
1987;0;0;0;0;0;11;0;0;98;0;0;0;0;0;0;14;0;0;0;0;88;20;0;0;0;0;0;0;0;0;0;0;101;0;0;0;0
